Year,Region,Technology,Device,Million
2021,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",21.552
2021,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",39.585
2021,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",19.874
2021,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",31.934
2021,North America,All technologies,"Mobile PCs/Tablets/
Routers",40.054
2021,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",18.285
2021,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",25.518
2021,"India, Nepal, Bhutan",All technologies,Feature phones,330.985
2021,South East Asia & Oceania,All technologies,Feature phones,213.539
2021,North East Asia,All technologies,Feature phones,127.032
2021,Central & Eastern Europe,All technologies,Feature phones,146.638
2021,Western Europe,All technologies,Feature phones,67.746
2021,North America,All technologies,Feature phones,17.286
2021,Latin America,All technologies,Feature phones,121.178
2021,Middle East & Africa,All technologies,Feature phones,630.46
2021,"India, Nepal, Bhutan",All technologies,Smartphones,810.627
2021,South East Asia & Oceania,All technologies,Smartphones,911.191
2021,North East Asia,All technologies,Smartphones,1942.703
2021,Central & Eastern Europe,All technologies,Smartphones,400.266
2021,Western Europe,All technologies,Smartphones,438.306
2021,North America,All technologies,Smartphones,341.407
2021,Latin America,All technologies,Smartphones,557.988
2021,Middle East & Africa,All technologies,Smartphones,884.439
2020,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",8.085
2020,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",17.599
2020,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",35.645
2020,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",17.214
2020,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",29.201
2020,North America,All technologies,"Mobile PCs/Tablets/
Routers",35.176
2020,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",16.061
2020,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",21.662
2020,"India, Nepal, Bhutan",All technologies,Feature phones,387.749
2020,South East Asia & Oceania,All technologies,Feature phones,258.37
2020,North East Asia,All technologies,Feature phones,153.331
2020,Central & Eastern Europe,All technologies,Feature phones,149.602
2020,Western Europe,All technologies,Feature phones,84.679
2020,North America,All technologies,Feature phones,18.449
2020,Latin America,All technologies,Feature phones,129.641
2020,Middle East & Africa,All technologies,Feature phones,682.13
2020,"India, Nepal, Bhutan",All technologies,Smartphones,733.769
2020,South East Asia & Oceania,All technologies,Smartphones,834.313
2020,North East Asia,All technologies,Smartphones,1854.948
2020,Central & Eastern Europe,All technologies,Smartphones,386.962
2020,Western Europe,All technologies,Smartphones,413.107
2020,North America,All technologies,Smartphones,325.845
2020,Latin America,All technologies,Smartphones,519.749
2020,Middle East & Africa,All technologies,Smartphones,839.825
2019,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",7.287
2019,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",14.224
2019,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",32.618
2019,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",15.003
2019,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",26.559
2019,North America,All technologies,"Mobile PCs/Tablets/
Routers",30.995
2019,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",14.099
2019,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",18.005
2019,"India, Nepal, Bhutan",All technologies,Feature phones,476.566
2019,South East Asia & Oceania,All technologies,Feature phones,316.773
2019,North East Asia,All technologies,Feature phones,234.852
2019,Central & Eastern Europe,All technologies,Feature phones,171.095
2019,Western Europe,All technologies,Feature phones,87.401
2019,North America,All technologies,Feature phones,20.748
2019,Latin America,All technologies,Feature phones,147.261
2019,Middle East & Africa,All technologies,Feature phones,705.49
2019,"India, Nepal, Bhutan",All technologies,Smartphones,655.649
2019,South East Asia & Oceania,All technologies,Smartphones,785.284
2019,North East Asia,All technologies,Smartphones,1767.513
2019,Central & Eastern Europe,All technologies,Smartphones,378.68
2019,Western Europe,All technologies,Smartphones,414.927
2019,North America,All technologies,Smartphones,329.029
2019,Latin America,All technologies,Smartphones,507.591
2019,Middle East & Africa,All technologies,Smartphones,745.122
2018,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",6.635
2018,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",12.508
2018,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",29.754
2018,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",13.73
2018,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",25.83
2018,North America,All technologies,"Mobile PCs/Tablets/
Routers",30.379
2018,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",12.638
2018,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",15.464
2018,"India, Nepal, Bhutan",All technologies,Feature phones,530.898
2018,South East Asia & Oceania,All technologies,Feature phones,363.878
2018,North East Asia,All technologies,Feature phones,320.404
2018,Central & Eastern Europe,All technologies,Feature phones,200.677
2018,Western Europe,All technologies,Feature phones,90.734
2018,North America,All technologies,Feature phones,22.949
2018,Latin America,All technologies,Feature phones,171.904
2018,Middle East & Africa,All technologies,Feature phones,753.881
2018,"India, Nepal, Bhutan",All technologies,Smartphones,547.769
2018,South East Asia & Oceania,All technologies,Smartphones,688.895
2018,North East Asia,All technologies,Smartphones,1601.61
2018,Central & Eastern Europe,All technologies,Smartphones,355.37
2018,Western Europe,All technologies,Smartphones,396.922
2018,North America,All technologies,Smartphones,326.713
2018,Latin America,All technologies,Smartphones,479.408
2018,Middle East & Africa,All technologies,Smartphones,652.071
2017,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",5.982
2017,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",11.376
2017,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",27.036
2017,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",12.279
2017,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",25.917
2017,North America,All technologies,"Mobile PCs/Tablets/
Routers",29.586
2017,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",11.415
2017,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",13.085
2017,"India, Nepal, Bhutan",All technologies,Feature phones,639.994
2017,South East Asia & Oceania,All technologies,Feature phones,471.114
2017,North East Asia,All technologies,Feature phones,490.628
2017,Central & Eastern Europe,All technologies,Feature phones,242.591
2017,Western Europe,All technologies,Feature phones,97.877
2017,North America,All technologies,Feature phones,24.837
2017,Latin America,All technologies,Feature phones,206.873
2017,Middle East & Africa,All technologies,Feature phones,810.667
2017,"India, Nepal, Bhutan",All technologies,Smartphones,437.127
2017,South East Asia & Oceania,All technologies,Smartphones,654.792
2017,North East Asia,All technologies,Smartphones,1288.932
2017,Central & Eastern Europe,All technologies,Smartphones,325.408
2017,Western Europe,All technologies,Smartphones,390.368
2017,North America,All technologies,Smartphones,318.741
2017,Latin America,All technologies,Smartphones,460.663
2017,Middle East & Africa,All technologies,Smartphones,570.365
2016,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",5.325
2016,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",9.517
2016,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",24.302
2016,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",11.119
2016,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",26.133
2016,North America,All technologies,"Mobile PCs/Tablets/
Routers",28.917
2016,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",10.228
2016,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",10.996
2016,"India, Nepal, Bhutan",All technologies,Feature phones,770.267
2016,South East Asia & Oceania,All technologies,Feature phones,530.103
2016,North East Asia,All technologies,Feature phones,640.52
2016,Central & Eastern Europe,All technologies,Feature phones,299.605
2016,Western Europe,All technologies,Feature phones,122.049
2016,North America,All technologies,Feature phones,30.915
2016,Latin America,All technologies,Feature phones,258.145
2016,Middle East & Africa,All technologies,Feature phones,876.18
2016,"India, Nepal, Bhutan",All technologies,Smartphones,304.309
2016,South East Asia & Oceania,All technologies,Smartphones,527.661
2016,North East Asia,All technologies,Smartphones,1025.994
2016,Central & Eastern Europe,All technologies,Smartphones,268.854
2016,Western Europe,All technologies,Smartphones,368.851
2016,North America,All technologies,Smartphones,318.026
2016,Latin America,All technologies,Smartphones,404.577
2016,Middle East & Africa,All technologies,Smartphones,472.54
2015,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",4.432
2015,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",7.809
2015,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",20.018
2015,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",9.278
2015,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",25.348
2015,North America,All technologies,"Mobile PCs/Tablets/
Routers",26.63
2015,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",8.29
2015,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",8.356
2015,"India, Nepal, Bhutan",All technologies,Feature phones,845.879
2015,South East Asia & Oceania,All technologies,Feature phones,602.578
2015,North East Asia,All technologies,Feature phones,775.5
2015,Central & Eastern Europe,All technologies,Feature phones,353.187
2015,Western Europe,All technologies,Feature phones,162.854
2015,North America,All technologies,Feature phones,44.875
2015,Latin America,All technologies,Feature phones,336.509
2015,Middle East & Africa,All technologies,Feature phones,983.026
2015,"India, Nepal, Bhutan",All technologies,Smartphones,190.592
2015,South East Asia & Oceania,All technologies,Smartphones,389.894
2015,North East Asia,All technologies,Smartphones,857.611
2015,Central & Eastern Europe,All technologies,Smartphones,215.112
2015,Western Europe,All technologies,Smartphones,328.432
2015,North America,All technologies,Smartphones,299.402
2015,Latin America,All technologies,Smartphones,346.151
2015,Middle East & Africa,All technologies,Smartphones,366.735
2014,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",4.058
2014,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",7.769
2014,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",20.508
2014,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",11.348
2014,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",23.086
2014,North America,All technologies,"Mobile PCs/Tablets/
Routers",24.607
2014,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",7.142
2014,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",6.606
2014,"India, Nepal, Bhutan",All technologies,Feature phones,856.709
2014,South East Asia & Oceania,All technologies,Feature phones,677.802
2014,North East Asia,All technologies,Feature phones,916.857
2014,Central & Eastern Europe,All technologies,Feature phones,384.51
2014,Western Europe,All technologies,Feature phones,201.297
2014,North America,All technologies,Feature phones,60.516
2014,Latin America,All technologies,Feature phones,454.899
2014,Middle East & Africa,All technologies,Feature phones,1020.838
2014,"India, Nepal, Bhutan",All technologies,Smartphones,109.135
2014,South East Asia & Oceania,All technologies,Smartphones,262.71
2014,North East Asia,All technologies,Smartphones,711.848
2014,Central & Eastern Europe,All technologies,Smartphones,171.72
2014,Western Europe,All technologies,Smartphones,297.064
2014,North America,All technologies,Smartphones,271.405
2014,Latin America,All technologies,Smartphones,247.769
2014,Middle East & Africa,All technologies,Smartphones,253.073
2013,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",2.849
2013,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",5.194
2013,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",13.345
2013,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",7.054
2013,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",20.503
2013,North America,All technologies,"Mobile PCs/Tablets/
Routers",20.947
2013,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",3.495
2013,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",2.984
2013,"India, Nepal, Bhutan",All technologies,Feature phones,854.305
2013,South East Asia & Oceania,All technologies,Feature phones,729.831
2013,North East Asia,All technologies,Feature phones,968.603
2013,Central & Eastern Europe,All technologies,Feature phones,422.46
2013,Western Europe,All technologies,Feature phones,242.345
2013,North America,All technologies,Feature phones,84.578
2013,Latin America,All technologies,Feature phones,538.822
2013,Middle East & Africa,All technologies,Feature phones,1002.201
2013,"India, Nepal, Bhutan",All technologies,Smartphones,50.749
2013,South East Asia & Oceania,All technologies,Smartphones,163.257
2013,North East Asia,All technologies,Smartphones,550.395
2013,Central & Eastern Europe,All technologies,Smartphones,131.064
2013,Western Europe,All technologies,Smartphones,257.997
2013,North America,All technologies,Smartphones,235.976
2013,Latin America,All technologies,Smartphones,157.193
2013,Middle East & Africa,All technologies,Smartphones,175.232
2012,"India, Nepal, Bhutan",All technologies,"Mobile PCs/Tablets/
Routers",1.051
2012,South East Asia & Oceania,All technologies,"Mobile PCs/Tablets/
Routers",3.278
2012,North East Asia,All technologies,"Mobile PCs/Tablets/
Routers",7.73
2012,Central & Eastern Europe,All technologies,"Mobile PCs/Tablets/
Routers",4.822
2012,Western Europe,All technologies,"Mobile PCs/Tablets/
Routers",15.61
2012,North America,All technologies,"Mobile PCs/Tablets/
Routers",15.677
2012,Latin America,All technologies,"Mobile PCs/Tablets/
Routers",1.623
2012,Middle East & Africa,All technologies,"Mobile PCs/Tablets/
Routers",1.55
2012,"India, Nepal, Bhutan",All technologies,Feature phones,853.774
2012,South East Asia & Oceania,All technologies,Feature phones,734.558
2012,North East Asia,All technologies,Feature phones,1064.207
2012,Central & Eastern Europe,All technologies,Feature phones,457.076
2012,Western Europe,All technologies,Feature phones,299.573
2012,North America,All technologies,Feature phones,136.962
2012,Latin America,All technologies,Feature phones,578.266
2012,Middle East & Africa,All technologies,Feature phones,972.374
2012,"India, Nepal, Bhutan",All technologies,Smartphones,31.077
2012,South East Asia & Oceania,All technologies,Smartphones,100.445
2012,North East Asia,All technologies,Smartphones,325.757
2012,Central & Eastern Europe,All technologies,Smartphones,90.679
2012,Western Europe,All technologies,Smartphones,208.558
2012,North America,All technologies,Smartphones,193.875
2012,Latin America,All technologies,Smartphones,94.244
2012,Middle East & Africa,All technologies,Smartphones,119.193
